n_KHit,t_cudaMM,n_hostDMiss,t_hostDLoad,s_hostDLoad,n_devDMiss,t_devDEvict,s_htod,t_htod,n_hostDHit,n_devDHit,t_zero,t_kernel,n_hostDWriteBack,s_dtoh,t_dtoh,t_hostDWriteBack,n_devDEvict,s_devDWriteBack,n_KMiss,t_kernelLoad,warm,t_e2e,name,mode,nrepeat,matDim,depth,nbyte
4.0,3.150927734375,9.0,0.033642578125,4194432.0,9.0,0.012158203125,20971648.0,0.904541015625,7.0,7.0,0.059912109375,75.912451171875,1.0,4194304.0,1.41015625,0.05458984375,0.0,0.0,0.0,0.0,True,82.989453125,smallDirect,direct,5,1024,4,37748736
3.0,4.67333984375,13.0,0.0615234375,20971648.0,13.0,0.01708984375,37748864.0,4.656005859375,3.0,3.0,0.0712890625,75.65185546875,1.0,4194304.0,1.4169921875,0.024169921875,0.0,0.0,1.0,0.22119140625,False,88.75048828125,smallDirect,direct,5,1024,4,37748736
4.0,126.978857421875,9.0,0.0439453125,268435584.0,9.0,0.0177734375,1342177408.0,81.598828125,7.0,7.0,0.101318359375,37916.25844726562,1.0,268435456.0,80.673388671875,0.597412109375,0.0,0.0,0.0,0.0,True,38234.063671875,largeDirect,direct,5,8192,4,2415919104
3.0,60.307373046875,13.0,0.078125,1342177408.0,13.0,0.0283203125,2415919232.0,407.630615234375,3.0,3.0,0.119140625,37928.641845703125,1.0,268435456.0,80.64111328125,0.02880859375,0.0,0.0,1.0,0.233154296875,False,38505.648681640625,largeDirect,direct,5,8192,4,2415919104
4.0,3.060888671875,9.0,5.816357421875,4194432.0,9.0,0.01552734375,20971648.0,1.01435546875,7.0,7.0,0.07021484375,75.975537109375,1.0,4194304.0,1.421142578125,4.855615234375,0.0,0.0,0.0,0.0,True,96.535546875,smallRemote,process,5,1024,4,37748736
3.0,4.92822265625,13.0,36.20263671875,20971648.0,13.0,0.0283203125,37748864.0,4.797119140625,3.0,3.0,0.09814453125,76.097900390625,1.0,4194304.0,1.411865234375,5.186279296875,0.0,0.0,1.0,0.264892578125,False,132.54248046875,smallRemote,process,5,1024,4,37748736
4.0,100.992919921875,9.0,319.8501953125,268435584.0,9.0,0.021142578125,1342177408.0,81.70087890625,7.0,7.0,0.1048828125,37899.95795898438,1.0,268435456.0,80.779296875,202.4275390625,0.0,0.0,0.0,0.0,True,38716.978515625,largeRemote,process,5,8192,4,2415919104
3.0,60.71533203125,13.0,1610.10107421875,1342177408.0,13.0,0.052734375,2415919232.0,408.288818359375,3.0,3.0,0.113525390625,37905.30224609375,1.0,268435456.0,80.78759765625,201.93994140625,0.0,0.0,1.0,0.257568359375,False,40297.54541015625,largeRemote,process,5,8192,4,2415919104
